"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"AcCa(16:0)",0,0.8695,0.7075,1,0.9001,1
"AcCa(18:0)",0,0.8117,0.1793,1,0.3716,0.4365
"AcCa(18:1)",0,0.5122,0.1652,0.8202,0.9346,0.2831
"AcCa(18:2)",0,0.7426,0.0582,0.996,0.3227,0.1731
"AcCa(20:0)",0,0.1388,0.8109,1,1,0.9804
"AcCa(22:0)",0,0.0783,0.4036,1,0.5106,1
"AcCa(22:1)",0,0.3314,0.7107,1,0.9509,1
"Cer(d16:1_21:0)",0,0.2244,0.6549,1,0.9875,0.8678
"Cer(d16:1_22:0)",0,0.0552,0.0465,0.3376,1,0.1354
"Cer(d16:1_22:1)",0,0.1178,0.1449,0.4796,0.237,1
"Cer(d16:1_23:0)",0,0.0112,0.0343,1,0.0994,0.145
"Cer(d16:1_24:0)",0,0.1782,0.1426,1,0.2762,0.4016
"Cer(d16:1_24:1)",0,0.0517,0.0935,0.77,0.1167,0.769
"Cer(d16:1_24:2)",0,0.0172,0.02,0.2535,0.02,0.9687
"Cer(d16:1_24:3)",0,0.027,0.0582,1,0.0964,0.3396
"Cer(d16:1_26:1)",0,0.09,0.0589,1,0.1403,0.2305
"Cer(d16:2_20:1)",0,0.4159,0.7126,1,1,1
"Cer(d16:2_21:1)",0,0.2653,0.0267,1,0.0613,0.1507
"Cer(d16:2_22:1)",0,0.5549,0.065,0.6715,0.0876,0.7742
"Cer(d16:2_23:1)",0,0.3196,0.7623,1,1,0.9386
"Cer(d16:2_24:1)",0,0.0164,0.1203,0.9804,0.1551,0.6571
"Cer(d16:2_25:1)",0,0.0555,0.0906,0.7442,0.1138,0.791
"Cer(d16:2_26:2)",0,0.008,0.0437,0.565,0.0592,0.6936
"Cer(d17:1_24:2)",0,0.0372,0.0216,0.4549,0.026,0.4018
"Cer(d18:1_16:0)",0,0.8682,0.7595,1,0.9482,1
"Cer(d18:1_24:2)",0,0.2316,0.1865,0.8142,0.2322,0.9687
"Cer(d18:1_24:3)",0,0.2033,0.1589,0.565,0.2301,1
"Cer(d18:1_26:1)",0,0.2985,0.8344,1,1,0.9687
"Cer(d18:2_16:0)",0,0.5795,0.7141,1,1,0.8935
"Cer(d18:2_23:0)",0,0.0124,0.1145,0.4504,0.177,1
"Cer(d18:2_24:1)",0,0.0181,0.0854,0.7654,0.1111,0.7525
"Cer(d32:1)",0,0.9291,0.6673,1,0.8582,1
"Cer(d33:1)",0,0.8777,0.8693,1,1,1
"Cer(d35:1)",0,0.7629,0.8244,1,1,1
"Cer(d39:2)",0,0.02,0.0288,0.6715,0.0381,0.3495
"Cer(d41:1)",0,0.0169,0.0343,1,0.1138,0.1354
"Cer(d42:1)",0,0.4438,0.6374,1,1,0.8263
"Cer(d43:1)",0,0.2548,0.4534,0.7654,0.8061,0.9736
"Cer(d43:2)",0,0.0181,0.0582,1,0.1915,0.1986
"Cer(d43:3)",0,0.0039,0.039,0.8204,0.0592,0.3589
"Cer(d43:4)",0,0.0065,0.0982,0.6715,0.12,0.9076
"Cer(d43:5)",0,0.0374,0.2088,0.6295,0.3138,1
"Cer(d44:1)",0,0.8449,0.0947,0.7238,0.1167,0.8427
"Cer(d44:3)",0,0.0086,0.0589,1,0.1003,0.3589
"Cer(d44:4)",0,0.1176,0.2092,1,0.2769,0.8265
"Cer(d45:1)",0,0.7535,0.1332,0.764,0.1559,0.8935
"Cer(d45:2)",0,0.3196,0.575,1,1,0.767
"Cer(d45:3)",0,0.1488,0.2738,1,0.7744,0.4546
"Cer(d45:4)",0,0.0389,0.4243,1,0.59,0.8678
"Cer(d46:2)",0,0.6869,0.4759,0.8936,0.6755,1
"Cer(d47:3)",0,0.5784,0.0987,1,0.2451,0.2879
"Cer(d48:2)",0,0.4697,0.3143,0.9359,0.3928,1
"Cer(t17:0_22:0)",0,0.1618,0.1029,1,0.183,0.3853
"Cer(t17:0_23:0)",0,0.0048,0.0133,1,0.0429,0.1171
"Cer(t17:1_23:0)",0,0.5414,0.0343,0.3233,0.9462,0.1171
"Cer(t17:1_25:1)",0,0.0076,0.0192,0.7442,0.02,0.1702
"Cer(t18:0_23:0)",0,0.0066,0.0346,1,0.1438,0.1304
"Cer(t18:0_24:0)",0,0.0046,0.0224,0.9987,0.098,0.1171
"Cer(t18:0_25:0)",0,0.012,0.0461,0.7442,0.401,0.1354
"Cer(t18:0_25:1)",0,7e-04,0.0216,1,0.0513,0.1171
"Cer(t18:0_26:0)",0,0.1343,0.065,0.4504,1,0.1731
"Cer(t18:1_26:0)",0,0.38,0.1675,0.4796,0.9842,0.4049
"Cer(t42:1)",0,2e-04,0.0175,1,0.0287,0.1171
"Cer(t45:0)",0,0.8682,0.0695,0.3188,1,0.2063
"Cer(t46:0)",0,0.8647,0.2397,0.565,0.5147,0.9201
"ChE(18:3)",0,0.0725,0.1983,1,0.4054,0.47
"ChE(22:5)",0,0.0783,0.0458,1,0.1244,0.1746
"ChE(22:6)",0,0,0.1426,1,0.3227,0.3589
"DG(14:0_18:2)",0,0.0662,0.0582,1,0.143,0.2116
"DG(16:0_16:1)",0,0.3324,0.1641,1,0.2301,0.692
"DG(16:0_18:1)",0,0.0556,0.0133,0.3111,0.0126,0.2904
"DG(16:0_18:2)",0,0.0126,0.0556,0.8562,0.0793,0.4477
"DG(16:0_18:3)",0,0.3535,0.0565,1,0.0858,0.3632
"DG(16:1_18:3)",0,0.0636,0.0582,1,0.1431,0.2116
"DG(16:1_22:5)",0,0.093,0.0582,1,0.1431,0.2116
"DG(17:1_18:1)",0,0.0157,0.0133,0.764,0.016,0.1354
"DG(17:1_18:2)",0,0.0085,0.0582,0.996,0.0891,0.3801
"DG(18:0_18:1)",0,0.22,0.0634,0.5972,0.086,0.8653
"DG(18:1_18:1)",0,0.0253,0.0224,0.3046,0.0273,0.8484
"DG(18:1_18:2)",0,0.0079,0.0505,0.9022,0.0782,0.3851
"DG(18:1_20:4)",0,0.0097,0.1585,1,0.3104,0.4239
"DG(18:1_22:4)",0,0.0079,0.1791,1,0.332,0.4746
"DG(18:1_22:5)",0,0.0096,0.0595,0.8934,0.0891,0.4919
"DG(18:2_18:2)",0,0.0079,0.0124,0.7635,0.0129,0.1181
"DG(18:2_22:6)",0,0.0086,0.0348,0.979,0.0592,0.2552
"DG(18:3_18:2)",0,0.0852,0.1587,1,0.2252,0.6594
"DG(18:3_22:1)",0,0.0079,0.162,1,0.227,0.6833
"DG(18:3_22:6)",0,0.0098,0.0595,0.6257,0.0839,0.8169
"DG(18:4_18:2)",0,0.0855,0.0582,1,0.143,0.2116
"DG(18:4_22:6)",0,0.1338,0.0582,1,0.143,0.2116
"DG(19:3e)",0,0.0404,0.3133,0.9929,0.3928,0.9754
"DG(19:4e)",0,0.5549,0.9992,1,1,1
"DG(20:1_18:1)",0,0.1848,0.0576,0.6395,0.0793,0.7555
"DG(20:1_18:2)",0,0.003,0.0133,0.3046,0.0126,0.3021
"DG(20:1_18:3)",0,0.0187,0.0567,0.9987,0.0876,0.3692
"DG(20:1_22:5)",0,0.3688,0.0124,0.3098,0.0126,0.207
"DG(20:1_22:6)",0,0.0052,0.0216,0.3046,0.0251,0.8645
"DG(20:2_22:6)",0,0.2975,0.0124,0.7483,0.0126,0.1171
"DG(20:3_18:2)",0,0.0052,0.0124,0.3098,0.0126,0.1986
"DG(20:3_22:6)",0,0.0341,0.0582,1,0.143,0.2116
"DG(20:5_18:2)",0,0.1247,0.0582,1,0.143,0.2116
"DG(22:1_18:2)",0,0.0622,0,0.0012,0,0.1354
"DG(22:1_22:6)",0,0.0612,0,2e-04,0,0.2277
"DG(22:5_18:2)",0,0.0739,0.3329,1,0.4342,0.8991
"DG(22:5_22:6)",0,0.0662,0.2168,1,0.4104,0.5271
"DG(22:6_22:6)",0,0.1559,0.0131,0.7442,0.0129,0.1304
"DG(26:5e)",0,0.096,0.2289,1,0.5106,0.4773
"FA(13:0)",0,0.6615,0.5012,0.8642,1,0.7961
"FA(14:0)",0,0.0104,0.0258,0.5972,0.0324,0.3647
"FA(14:1)",0,0.0409,0.2955,0.9385,0.3716,1
"FA(15:0)",0,0.347,0.3274,0.9699,0.4076,1
"FA(16:0)",0,0.0162,0.3177,0.9448,1,0.4646
"FA(16:1)",0,0.3715,0.0565,0.5364,0.0782,0.8659
"FA(17:0)",0,0.5261,0.575,1,0.741,1
"FA(17:1)",0,0.5425,0.0346,0.62,0.0467,0.4886
"FA(18:0)",0,0.261,0.3799,0.7357,1,0.7063
"FA(18:1)",0,0.0491,0.0567,0.9176,0.0839,0.4239
"FA(18:2) (1)",0,0.0086,0.0346,0.6395,0.0471,0.4572
"FA(18:2) (2)",0,0.1117,0.0945,1,0.1584,0.3863
"FA(18:3)",0,0.0078,0.0388,1,0.0814,0.1986
"FA(18:4)",0,0.0097,0.0216,0.6715,0.0277,0.2372
"FA(19:0)",0,0.4533,0.2276,1,0.837,0.3692
"FA(19:1)",0,0.2802,0.0565,0.4968,0.0782,0.9022
"FA(20:0)",0,0.5279,0.9003,1,1,1
"FA(20:1)",0,0.0611,0.0124,0.2468,0.0122,0.4403
"FA(20:2) (1)",0,0.0051,0.0216,0.541,0.0266,0.315
"FA(20:2) (2)",0,0.3862,0.0652,0.6082,0.0876,0.8659
"FA(20:3) (1)",0,0.003,0.0348,0.8562,0.0536,0.3021
"FA(20:3) (2)",0,0.4193,0.0369,1,0.077,0.2116
"FA(20:4) (1)",0,0.0064,0.1187,1,0.2808,0.315
"FA(20:4) (2)",0,0.0704,0.2548,0.9775,0.3214,0.9201
"FA(20:5) (1)",0,0.2014,0.2168,0.7357,0.2834,1
"FA(20:5) (2)",0,0.0072,0.0423,0.6118,0.5568,0.1298
"FA(21:0)",0,0.5497,0.9766,1,1,1
"FA(21:1)",0,0.0227,0.0096,0.1369,0.007,0.5747
"FA(22:0)",0,0.4829,0.1495,1,0.3227,0.3741
"FA(22:1)",0,0.1538,0.0175,0.2784,0.0153,0.7181
"FA(22:2) (1)",0,0.012,0.0138,0.3046,0.0126,0.3632
"FA(22:2) (2)",0,0.4864,0.0339,0.3107,0.0429,0.9736
"FA(22:3)",0,0.0138,0.0194,0.3698,0.0191,0.3643
"FA(22:4) (1)",0,0.0203,0.1251,0.7415,0.1473,0.902
"FA(22:4) (2)",0,0.036,0.412,0.9422,0.5339,1
"FA(22:5) (1)",0,0.0459,0.0511,0.5064,0.0711,0.8645
"FA(22:5) (2)",0,0.3179,0.0582,0.3046,0.1045,1
"FA(22:6) (1)",0,0.2762,0.2169,0.5448,0.4723,0.9116
"FA(22:6) (2)",0,0.1591,0.1675,0.4504,0.5766,0.6873
"FA(23:0)",0,0.9791,0.6135,1,1,0.8076
"FA(23:1)",0,0.1074,0.024,0.3527,0.0283,0.6536
"FA(24:0)",0,0.3688,0.1585,0.5123,1,0.3383
"FA(24:1)",0,0.0483,0.0346,0.514,0.0439,0.6294
"FA(24:2)",0,0.0506,0.0138,0.2433,0.0129,0.9446
"FA(25:0)",0,0.4891,0.2451,0.6395,1,0.4596
"FA(25:1)",0,0.0861,0.0565,0.7135,0.0784,0.6294
"FA(26:0)",0,0.5505,0.234,0.565,0.9875,0.5367
"FA(26:1)",0,0.0811,0.1478,1,0.1949,0.6991
"FA(27:0)",0,0.8063,0.1793,0.5364,1,0.3749
"FA(28:0)",0,0.5281,0.0771,0.3749,1,0.1986
"FA(28:1)",0,0.2895,0.2789,1,0.5599,0.5697
"FA(29:0)",0,0.8065,0.4198,0.7442,0.7576,0.9804
"FA(30:0)",0,0.0306,0.0312,0.3529,0.7847,0.1171
"FA(30:1)",0,0.4745,0.5352,1,0.8906,0.7871
"FA(32:0)",0,0.0314,0.0418,0.7357,0.3824,0.1304
"FA(32:1)",0,0.0073,0.0582,1,0.2617,0.1797
"FA(33:0)",0,0.5347,0.4111,0.8436,1,0.6311
"FA(34:0)",0,0.5394,0.6135,0.9451,1,0.8949
"FA(34:1)",0,0.0159,0.1634,1,0.401,0.3692
"Hex1Cer(d38:1)",0,0.6923,0.2065,1,0.3753,0.5346
"Hex1Cer(d39:1)",0,0.864,0.1879,1,0.2759,0.6576
"Hex1Cer(d40:1)",0,0.8632,0.8065,1,0.9875,1
"Hex1Cer(d40:2)",0,0.5795,0.7499,1,1,0.9076
"Hex1Cer(d41:1)",0,0.7953,0.6048,1,0.7993,0.9687
"Hex1Cer(d42:1)",0,0.8519,0.485,1,0.6491,0.9432
"Hex1Cer(d42:2)",0,0.9375,0.4111,1,0.837,0.6436
"Hex1Cer(d44:1)",0,0.7918,0.6087,1,0.837,0.9088
"Hex2Cer(d18:1_24:0)",0,0.0051,0.0124,0.3069,0.0126,0.2367
"Hex2Cer(d18:1_24:1)",0,0.0097,0.1585,1,0.3285,0.4016
"Hex2Cer(d42:2)",0,0.0046,0.0582,1,0.1431,0.2116
"LPC(14:0)",0,0.7177,0.2059,0.7654,0.2595,1
"LPC(14:1e)",0,0.9928,0.4327,1,1,0.62
"LPC(15:0)",0,0.4437,0.5774,0.9385,0.837,1
"LPC(16:0)",0,0.3272,0.1478,0.4632,0.274,0.9794
"LPC(16:0e)",0,0.2853,0.3073,0.6301,0.798,0.8112
"LPC(16:1) (1)",0,0.5123,0.2094,0.514,0.6252,0.7757
"LPC(16:1) (2)",0,0.7801,0.0582,0.3188,0.0933,1
"LPC(16:1e)",0,0.4962,0.5584,0.996,1,0.769
"LPC(17:0)",0,0.6858,0.5646,1,1,0.7605
"LPC(17:1) (1)",0,0.7577,0.1188,1,0.1949,0.448
"LPC(17:1) (2)",0,0.4225,0.3329,0.7442,0.4936,1
"LPC(18:0)",0,0.6275,0.2998,0.6295,0.8036,0.7961
"LPC(18:1) (1)",0,0.3204,0.6921,1,1,0.8935
"LPC(18:1) (2)",0,0.7762,0.3268,0.6544,0.7847,0.8484
"LPC(18:1e)",0,0.3931,0.2935,0.6715,0.4937,1
"LPC(18:2) (1)",0,0.1608,0.0434,0.2589,0.6545,0.1939
"LPC(18:2) (2)",0,0.5554,0.174,0.4647,0.7993,0.5331
"LPC(18:3) (1)",0,0.8393,0.8939,1,1,1
"LPC(18:3) (2)",0,0.3685,0.9901,1,1,1
"LPC(18:4) (1)",0,0.8777,0.4765,0.8193,0.7786,1
"LPC(18:4) (2)",0,0.9139,0.1398,0.7057,0.1655,0.9782
"LPC(19:0)",0,0.2759,0.6844,0.996,1,0.9784
"LPC(19:1)",0,0.106,0.4856,0.8745,1,0.7557
"LPC(20:0)",0,0.4261,0.2711,1,0.3458,0.8949
"LPC(20:1) (1)",0,0.4246,0.4041,0.7405,1,0.7605
"LPC(20:1) (2)",0,0.6551,0.3178,0.6709,1,0.6569
"LPC(20:1e)",0,0.4261,0.0261,1,0.0639,0.145
"LPC(20:2) (1)",0,0.3407,0.3499,0.7233,1,0.6421
"LPC(20:2) (2)",0,0.7577,0.1974,0.5207,0.9477,0.4886
"LPC(20:3) (1)",0,0.9176,0.6921,1,1,0.8935
"LPC(20:3) (2)",0,0.8117,0.4816,0.8039,0.9882,0.8659
"LPC(20:4) (1)",0,0.6434,0.7401,1,1,0.902
"LPC(20:5) (1)",0,0.7516,0.7497,1,1,0.902
"LPC(20:5) (2)",0,0.7996,0.1452,0.9208,0.7756,0.2541
"LPC(22:0)",0,0.0845,0.3558,0.6715,0.83,0.8484
"LPC(22:1) (1)",0,0.3053,0.3989,0.7442,0.6766,1
"LPC(22:1) (2)",0,0.3309,0.5598,0.9121,0.837,1
"LPC(22:4) (2)",0,0.5784,0.2966,1,0.9001,0.4546
