"","no","ANOVAfull","anova","oldWT-oldHet","young-oldHet","young-oldWT"
"PE(18:1_20:4)",0,0.4189,0.1577,0.565,1,0.2913
"PE(18:1_20:5)",0,0.8614,0.4553,0.8188,1,0.7555
"PE(18:1_22:1)",0,0.3196,0.1365,0.487,1,0.2831
"PE(18:1_22:6) (1)",0,0.2433,0.8905,1,1,1
"PE(18:1_22:6) (2)",0,0.5748,0.3425,0.7442,1,0.5909
"PE(18:1_24:1)",0,0.5561,0.0348,0.2535,0.798,0.1539
"PE(18:1e_20:4)",0,0.5554,0.9097,1,1,1
"PE(18:1e_22:5)",0,0.2382,0.5605,1,0.8486,0.8427
"PE(18:2_22:6)",0,0.0359,0.7126,1,1,0.896
"PE(18:2e_20:5)",0,0.9847,0.9879,1,1,1
"PE(18:3_20:5)",0,0.6491,0.2279,0.5407,0.8036,0.6571
"PE(18:3_22:5)",0,0.3446,0.2733,0.5972,0.873,0.6873
"PE(18:3_22:6)",0,0.2555,0.1619,0.4791,1,0.3766
"PE(18:3e_22:6)",0,0.1782,0.2935,0.7057,0.4469,1
"PE(18:4_22:6)",0,0.6266,0.7497,1,1,0.902
"PE(19:0_22:5)",0,0.7347,0.0582,1,0.1648,0.207
"PE(19:0_22:6)",0,0.1214,0.4911,0.8193,0.837,0.9947
"PE(19:1_22:6)",0,0.6551,0.5582,0.8788,0.9394,0.9687
"PE(20:0_22:5)",0,0.5784,0.434,1,0.6783,0.7961
"PE(20:0_22:6)",0,0.7641,0.0224,0.3046,0.0273,0.8189
"PE(20:1_18:1)",0,0.3664,0.46,0.8193,1,0.7571
"PE(20:1_18:2)",0,0.2836,0.8823,1,1,1
"PE(20:1_20:4)",0,0.01,0.4816,0.8039,0.8958,0.9201
"PE(20:1_22:5)",0,0.2061,0.4717,0.9121,0.6491,1
"PE(20:1_22:6)",0,0.8523,0.0567,1,0.1191,0.2257
"PE(20:1e_22:6)",0,0.3414,0.1641,1,0.2546,0.5829
"PE(20:2_22:6)",0,0.7577,0.2477,1,0.7497,0.4173
"PE(20:3_22:6)",0,0.7293,0.5546,0.8911,0.8615,1
"PE(20:4_22:6)",0,0.7052,0.6011,0.956,0.8425,1
"PE(20:5_18:2)",0,0.2658,0.4547,0.8142,0.724,1
"PE(20:5_22:6)",0,0.4913,0.8332,1,1,0.9971
"PE(22:1_18:2)",0,0.1387,0.5605,1,1,0.774
"PE(22:5_22:6)",0,0.4533,0.7126,1,1,0.9022
